team,reach_round_1,reach_round_2,reach_round_3,reach_round_4,reach_round_5,reach_round_6
Florida,0.9714,0.9052,0.7374,0.568,0.4742,0.3798
Wisconsin,0.9406,0.7578,0.5652,0.4232,0.3282,0.1546
Illinois,0.8242,0.7154,0.5502,0.2234,0.1472,0.0984
Kentucky,0.8434,0.7424,0.5612,0.4082,0.1538,0.0914
Arizona,0.8104,0.6162,0.2576,0.1632,0.11,0.037
Vanderbilt,0.7618,0.5636,0.1698,0.0976,0.0586,0.034
Purdue,0.8842,0.4908,0.344,0.1362,0.0836,0.0248
CA Baptist,0.6464,0.4562,0.317,0.2018,0.0842,0.0234
Texas Tech,0.9248,0.6708,0.419,0.19,0.0454,0.0224
Michigan St,0.7574,0.5766,0.3334,0.1962,0.078,0.0222
Missouri,0.8584,0.465,0.3254,0.1246,0.0702,0.0182
Michigan,0.8802,0.5578,0.28,0.124,0.0252,0.0108
UCLA,0.521,0.3542,0.2034,0.1164,0.0438,0.01
Houston,0.8644,0.5152,0.2,0.048,0.021,0.0096
NC State,0.6706,0.5292,0.2302,0.0682,0.0352,0.0072
UCF,0.479,0.3178,0.181,0.0948,0.0322,0.0066
Arkansas,0.689,0.1832,0.0892,0.0454,0.0236,0.006
Tennessee,0.5538,0.3286,0.1218,0.0566,0.0112,0.0048
Virginia,0.9008,0.4236,0.1472,0.0654,0.013,0.0042
Kansas,0.3536,0.208,0.1172,0.053,0.015,0.0036
Saint Mary's,0.5986,0.2934,0.0922,0.0164,0.0084,0.0036
Duke,0.5992,0.3636,0.1672,0.081,0.0226,0.0034
Georgia,0.7824,0.37,0.1588,0.0518,0.0082,0.003
Miami OH,0.2888,0.1648,0.0632,0.033,0.0074,0.003
St John's,0.7344,0.2836,0.1518,0.068,0.0172,0.0024
Troy,0.695,0.2622,0.046,0.0138,0.0056,0.0022
UConn,0.6722,0.2506,0.1218,0.0516,0.0146,0.002
Siena,0.4008,0.1994,0.0702,0.0246,0.0074,0.0018
Ohio State,0.6154,0.2948,0.1216,0.0514,0.01,0.0014
McNeese,0.2382,0.1128,0.0152,0.0044,0.0026,0.0012
Louisville,0.6218,0.208,0.078,0.0258,0.0058,0.001
Alabama,0.6696,0.2396,0.1056,0.0294,0.0048,0.001
Penn,0.1758,0.1008,0.0422,0.0048,0.0022,0.001
Villanova,0.6212,0.2166,0.048,0.0172,0.0082,0.0008
Texas A&M,0.4014,0.1618,0.0456,0.0062,0.0014,0.0006
Hofstra,0.3304,0.0744,0.0234,0.0044,0.0006,0.0004
N Dakota St,0.2426,0.1266,0.039,0.0118,0.002,0.0004
North Carolina,0.4814,0.0856,0.032,0.004,0.0014,0.0004
Clemson,0.7246,0.0736,0.0226,0.0064,0.0018,0.0002
Utah State,0.3788,0.0876,0.0114,0.0024,0.001,0.0002
Santa Clara,0.1566,0.0872,0.0318,0.0116,0.0014,0.0002
SMU,0.1574,0.0756,0.023,0.0088,0.0012,0.0002
Gonzaga,0.6036,0.1938,0.0414,0.0054,0.001,0.0002
South Florida,0.3782,0.0888,0.0214,0.0048,0.0008,0.0002
Long Island,0.1896,0.0796,0.0126,0.004,0.0012,0.0002
Akron,0.0752,0.0152,0.0022,0.0002,0.0,0.0
Furman,0.3278,0.0774,0.022,0.006,0.0008,0.0
High Point,0.0594,0.0114,0.0008,0.0002,0.0,0.0
Hawai'i,0.311,0.0476,0.0152,0.005,0.0008,0.0
BYU,0.295,0.1656,0.0324,0.0034,0.0006,0.0
Idaho,0.1356,0.0296,0.0024,0.0,0.0,0.0
Iowa,0.2754,0.0122,0.0016,0.0002,0.0002,0.0
Nebraska,0.305,0.0614,0.006,0.0014,0.0002,0.0
Miami,0.1416,0.0256,0.0082,0.0002,0.0,0.0
Kennesaw St,0.3964,0.1006,0.012,0.001,0.0002,0.0
Lehigh,0.0172,0.0056,0.0004,0.0004,0.0,0.0
Iowa State,0.595,0.1114,0.038,0.0118,0.0016,0.0
Howard,0.0812,0.0164,0.0024,0.0004,0.0,0.0
Northern Iowa,0.2656,0.0522,0.015,0.0028,0.0,0.0
Queens,0.1158,0.0186,0.0052,0.0,0.0,0.0
TCU,0.3846,0.1422,0.04,0.01,0.0016,0.0
Saint Louis,0.2176,0.049,0.008,0.0006,0.0,0.0
Prairie View,0.0114,0.0034,0.001,0.0002,0.0,0.0
Tennessee St,0.405,0.059,0.0136,0.0038,0.0008,0.0
Texas,0.0344,0.0108,0.0012,0.0004,0.0002,0.0
UMBC,0.0386,0.0068,0.0006,0.0,0.0,0.0
VCU,0.5186,0.0982,0.0354,0.0048,0.0006,0.0
Wright St,0.0992,0.0074,0.0002,0.0,0.0,0.0
